split,method_norm,accuracy_12feat,f1_macro_12feat,f1_entailment_12feat,f1_neutral_12feat,f1_contradiction_12feat,accuracy_16feat,f1_macro_16feat,f1_entailment_16feat,f1_neutral_16feat,f1_contradiction_16feat,accuracy_delta_16_minus_12,f1_macro_delta_16_minus_12,f1_entailment_delta_16_minus_12,f1_neutral_delta_16_minus_12,f1_contradiction_delta_16_minus_12
multinli_tr_1_1::validation_mismatched,Meta_BiLSTM,0.813027989821883,0.8121112469435298,0.8317770435282287,0.7647622087456112,0.8397944885567492,0.813027989821883,0.8120737446039303,0.8340266819681538,0.763787057698438,0.8384074941451991,0.0,-3.7502339599426726e-05,0.0022496384399250946,-0.0009751510471731617,-0.001386994411550102
multinli_tr_1_1::validation_mismatched,Meta_FlatLSTM,0.813027989821883,0.8120559569587017,0.8334768877404536,0.7626037013401404,0.8400872817955112,0.8120101781170483,0.8111185361317528,0.8320435654915449,0.7628143903215536,0.8384976525821596,-0.0010178117048346147,-0.0009374208269489204,-0.001433322248908686,0.00021068898141318737,-0.0015896292133515955
multinli_tr_1_1::validation_mismatched,Meta_LinearSVC,0.8076335877862595,0.8062635142813591,0.8275283256399496,0.7567479674796748,0.8345142497244529,0.8074300254452926,0.8062173173350796,0.8268987786045205,0.7573160873080033,0.8344370860927153,-0.00020356234096685633,-4.619694627949755e-05,-0.0006295470354290567,0.000568119828328495,-7.716363173759788e-05
multinli_tr_1_1::validation_mismatched,Meta_MLP,0.8109923664122137,0.8100965833583184,0.8317770435282287,0.7617684478371501,0.8367442587095766,0.8107888040712469,0.8098964079464802,0.8311800172265289,0.7598600508905853,0.8386491557223265,-0.00020356234096685633,-0.0002001754118381438,-0.0005970263016997768,-0.001908396946564861,0.0019048970127498732
multinli_tr_1_1::validation_mismatched,Qwen,0.7263104325699745,0.7208204128505136,0.7622816593886463,0.619475138121547,0.7807044410413476,0.7263104325699745,0.7208204128505136,0.7622816593886463,0.619475138121547,0.7807044410413476,0.0,0.0,0.0,0.0,0.0
multinli_tr_1_1::validation_mismatched,Weighted_static_hand_weights,0.7539949109414759,0.7457475296593484,0.7844030889986074,0.640074211502783,0.8127652884766546,0.7539949109414759,0.7457475296593484,0.7844030889986074,0.640074211502783,0.8127652884766546,0.0,0.0,0.0,0.0,0.0
multinli_tr_1_1::validation_mismatched,mDeBERTa,0.7979643765903308,0.7959550717731766,0.8213748804154708,0.7449030333167578,0.8215873015873015,0.7979643765903308,0.7959550717731766,0.8213748804154708,0.7449030333167578,0.8215873015873015,0.0,0.0,0.0,0.0,0.0
snli_tr_1_1::test,BERT,0.7503053745928339,0.7422047571167939,0.7895578050079914,0.6495378927911275,0.787518573551263,0.7503053745928339,0.7422047571167939,0.7895578050079914,0.6495378927911275,0.787518573551263,0.0,0.0,0.0,0.0,0.0
snli_tr_1_1::test,Class_conditional_routing_computed,0.7198697068403909,0.7182095333970414,0.8005685856432125,0.6357336547152757,0.7183263598326359,0.7198697068403909,0.7182095333970414,0.8005685856432125,0.6357336547152757,0.7183263598326359,0.0,0.0,0.0,0.0,0.0
snli_tr_1_1::test,Gemma,0.4579600977198697,0.4344311183566701,0.5331394140868482,0.3965322276667923,0.3736217133163698,0.4579600977198697,0.4344311183566701,0.5331394140868482,0.3965322276667923,0.3736217133163698,0.0,0.0,0.0,0.0,0.0
snli_tr_1_1::test,Majority_vote,0.7838965798045603,0.7807375987058994,0.809609919917334,0.7137000341646738,0.8189028420356906,0.7838965798045603,0.7807375987058994,0.809609919917334,0.7137000341646738,0.8189028420356906,0.0,0.0,0.0,0.0,0.0
snli_tr_1_1::test,Meta_BiLSTM,0.8353013029315961,0.8349034490058406,0.8563421828908555,0.790914747977598,0.8574534161490683,0.83560667752443,0.8352507624459786,0.8553329404832056,0.7924762941085031,0.8579430527462268,0.0003053745928338625,0.0003473134401380529,-0.0010092424076498796,0.0015615461309050893,0.0004896365971585048
